IngressBytes,InRxmitBytes,InCongestionBytes,Connections
23243,0,0,0
473,0,0,0
3096,0,0,33
25567,0,0,39
131712,0,0,11
91296,0,0,1
64023,0,0,1
17497,0,0,1
47135,0,0,1
64666,0,0,1
64721,0,0,2
64635,0,0,1
64541,0,0,1
72214,0,0,2
20329,0,0,0
23,0,0,0
62,0,0,0
125579,0,0,0
489393,0,0,1
223916,0,0,1
22222,0,0,0
278,0,0,0
102,0,0,0
22079,0,0,0
31288,0,0,1
8551,0,0,0
0,0,0,0
878,0,0,0
513,0,0,0
119730,0,0,2
819212,0,0,3
984764,0,0,3
382849,0,0,2
46097,0,0,0
62,0,0,0
253,0,0,0
35,0,0,0
2734,0,0,1
379,0,0,0
302,0,0,0
41,0,0,0
4318,0,0,3
368301,0,0,1
51092,0,0,0
1051,0,0,0
445,0,0,1
117,0,0,1
188,0,0,1
360733,0,0,1
218174,0,0,2
227284,0,0,3
538436,0,0,3
734635,0,0,4
1429498,0,625083,4
1482904,0,1383944,4
1468759,0,481820,2
1203729,0,527150,3
1363838,0,97818,4
1446760,0,1281260,4
1485341,0,1485341,5
1468338,0,493503,3
1260063,0,43320,3
469568,0,0,3
357272,0,0,1
372527,0,0,1
439044,0,0,1
451331,0,0,1
425675,0,0,3
445811,0,0,4
525519,0,0,1
68624,0,0,1
352633,0,0,1
150188,0,0,1
14144,0,0,1
10,0,0,0
2583,0,0,0
358,0,0,0
0,0,0,0
253,0,0,0
27234,0,0,1
6861,0,0,1
428,0,0,0
0,0,0,0
0,0,0,0
2583,0,0,0
358,0,0,0
151,0,0,0
2604,0,0,1
1054,0,0,1
172,0,0,1
10,0,0,0
373,0,0,0
51,0,0,0
0,0,0,0
2583,0,0,0
117067,0,0,2
642732,0,0,2
319053,0,0,2
300254,0,0,1
37317,0,0,1
10,0,0,0
774,0,0,0
809,0,0,1
320240,0,0,2
44739,0,0,1
2618,0,0,1
358,0,0,0
0,0,0,0
0,0,0,0
75,0,0,0
188,0,0,1
151040,0,0,2
97347,0,0,2
155425,0,0,3
224590,0,0,4
284873,0,0,4
558903,0,0,4
1227984,0,223853,4
1569824,0,689783,4
1132891,0,91524,3
1034654,0,0,3
929782,0,0,2
941110,0,0,2
936045,0,0,2
946125,0,0,2
948181,0,0,2
1310180,0,169889,4
1196617,0,23606,3
1098391,0,0,3
1071657,0,0,2
1061715,0,0,3
1052449,0,0,3
568861,0,0,3
61222,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
75,0,0,0
399,0,0,0
54,0,0,0
179,0,0,0
611,0,0,1
81,0,0,0
0,0,0,0
0,0,0,0
2583,0,0,0
613,0,0,1
2618,0,0,1
613,0,0,1
3634,0,0,1
1153,0,0,1
90,0,0,0
179,0,0,0
175,0,0,1
20,0,0,0
2762,0,0,1
498465,0,0,2
166043,0,0,2
14130,0,0,2
363336,0,0,3
50926,0,0,0
213,0,0,0
1030,0,0,1
1527,0,0,1
69830,0,0,1
177412,0,0,1
25965,0,0,1
1101,0,0,2
705,0,0,1
2893,0,0,1
390,0,0,0
253,0,0,0
35,0,0,0
0,0,0,0
179,0,0,0
99,0,0,1
10,0,0,0
616,0,0,1
3121,0,0,2
1257,0,0,2
196730,0,0,3
933761,0,0,3
1158682,0,55393,4
1562277,0,1155869,3
997464,0,159541,4
1065298,0,0,3
529432,0,0,3
806900,0,0,3
775966,0,0,3
770812,0,0,3
873158,0,318961,3
1124194,0,535025,3
496718,0,68184,3
441856,0,0,2
709585,0,0,2
546348,0,0,2
561054,0,0,1
599496,0,0,1
473330,0,0,1
405085,0,0,1
392894,0,0,1
398607,0,0,2
498691,0,0,1
368062,0,0,1
389267,0,0,1
691726,0,0,2
321976,0,0,3
378946,0,0,1
572017,0,0,1
73021,0,0,1
